id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_bblr,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1381,ORANG,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2202,ORANG,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1458,ORANG,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,417,ORANG,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,1307,ORANG,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,943,ORANG,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,877,ORANG,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1141,ORANG,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1322,ORANG,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,997,ORANG,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,757,ORANG,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1322,ORANG,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,788,ORANG,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,522,ORANG,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1281,ORANG,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,531,ORANG,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,532,ORANG,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,257,ORANG,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,54,ORANG,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,230,ORANG,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,845,ORANG,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,210,ORANG,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,163,ORANG,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,411,ORANG,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,237,ORANG,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,390,ORANG,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,112,ORANG,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,1557,ORANG,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,167,ORANG,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1059,ORANG,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1207,ORANG,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,1256,ORANG,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1057,ORANG,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,920,ORANG,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1119,ORANG,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,1475,ORANG,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,882,ORANG,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,690,ORANG,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1505,ORANG,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,659,ORANG,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,516,ORANG,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1250,ORANG,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,451,ORANG,2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,575,ORANG,2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,24,ORANG,2017
46,32,JAWA BARAT,3271,KOTA BOGOR,370,ORANG,2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,231,ORANG,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,3147,ORANG,2017
49,32,JAWA BARAT,3274,KOTA CIREBON,168,ORANG,2017
50,32,JAWA BARAT,3275,KOTA BEKASI,335,ORANG,2017
51,32,JAWA BARAT,3276,KOTA DEPOK,475,ORANG,2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,336,ORANG,2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,343,ORANG,2017
54,32,JAWA BARAT,3279,KOTA BANJAR,132,ORANG,2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,1752,ORANG,2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,ORANG,2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1059,ORANG,2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1343,ORANG,2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,1105,ORANG,2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1057,ORANG,2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,896,ORANG,2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1270,ORANG,2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,1504,ORANG,2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,917,ORANG,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,593,ORANG,2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,ORANG,2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,55,ORANG,2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,370,ORANG,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1123,ORANG,2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,399,ORANG,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1057,ORANG,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,271,ORANG,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,348,ORANG,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,221,ORANG,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,889,ORANG,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,207,ORANG,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,306,ORANG,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,436,ORANG,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,293,ORANG,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,1633,ORANG,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2033,ORANG,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1143,ORANG,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1976,ORANG,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,1107,ORANG,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1161,ORANG,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,797,ORANG,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1146,ORANG,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,1608,ORANG,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,833,ORANG,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,555,ORANG,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1081,ORANG,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,604,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,454,ORANG,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1105,ORANG,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,443,ORANG,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,723,ORANG,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,192,ORANG,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,243,ORANG,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,297,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,925,ORANG,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,196,ORANG,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,273,ORANG,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,385,ORANG,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,333,ORANG,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,369,ORANG,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,129,ORANG,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,1790,ORANG,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2033,ORANG,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1143,ORANG,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1783,ORANG,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,1107,ORANG,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1166,ORANG,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,863,ORANG,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1119,ORANG,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,1412,ORANG,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,955,ORANG,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,537,ORANG,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1081,ORANG,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,604,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,444,ORANG,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1056,ORANG,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,375,ORANG,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,723,ORANG,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,268,ORANG,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,301,ORANG,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,264,ORANG,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,1004,ORANG,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,240,ORANG,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,326,ORANG,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,276,ORANG,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,207,ORANG,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,369,ORANG,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,122,ORANG,2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,1383,ORANG,2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2015,ORANG,2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1085,ORANG,2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1974,ORANG,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,1786,ORANG,2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1266,ORANG,2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,794,ORANG,2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1046,ORANG,2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,1110,ORANG,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,745,ORANG,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,455,ORANG,2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,948,ORANG,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,491,ORANG,2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,371,ORANG,2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,862,ORANG,2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,328,ORANG,2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,548,ORANG,2021
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,291,ORANG,2021
154,32,JAWA BARAT,3271,KOTA BOGOR,314,ORANG,2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,179,ORANG,2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,546,ORANG,2021
157,32,JAWA BARAT,3274,KOTA CIREBON,248,ORANG,2021
158,32,JAWA BARAT,3275,KOTA BEKASI,851,ORANG,2021
159,32,JAWA BARAT,3276,KOTA DEPOK,446,ORANG,2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,248,ORANG,2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,395,ORANG,2021
