id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_ibu_hamil_anemia,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,7521,ORANG,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3379,ORANG,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,623,ORANG,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,150,ORANG,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,2280,ORANG,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3125,ORANG,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1724,ORANG,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3679,ORANG,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,5691,ORANG,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1494,ORANG,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1453,ORANG,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6359,ORANG,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,2107,ORANG,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3212,ORANG,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2703,ORANG,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,581,ORANG,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,739,ORANG,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,616,ORANG,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,1872,ORANG,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,393,ORANG,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,763,ORANG,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,584,ORANG,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,549,ORANG,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,1075,ORANG,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,157,ORANG,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,570,ORANG,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,33,ORANG,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,6594,ORANG,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4871,ORANG,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1261,ORANG,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2296,ORANG,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,3855,ORANG,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3253,ORANG,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3424,ORANG,2016
